COL_DTM,INT_NO,INT_STAT,INT_PHASE_NO,LNKD_DTM
20231018190626,407,1,1,2023-10-18 19:06:26
20231018144047,704,1,2,2023-10-18 14:40:48
20231017204738,566,1,1,2023-10-17 20:47:38
20231016011242,194,1,1,2023-10-16 01:12:43
20231019140952,23,1,6,2023-10-19 14:09:53
20231019140944,670,1,1,2023-10-19 14:09:45
20231019140929,540,1,1,2023-10-19 14:09:30
20231019140923,354,1,1,2023-10-19 14:09:24
20231019140952,47,1,1,2023-10-19 14:09:53
20231019140952,674,1,5,2023-10-19 14:09:53
20231019141001,157,1,1,2023-10-19 14:10:02
20231019141001,285,1,1,2023-10-19 14:10:02
20231019140923,604,1,1,2023-10-19 14:09:24
20231019140929,191,1,2,2023-10-19 14:09:30
20231019140900,206,1,3,2023-10-19 14:09:01
20231019141001,733,1,2,2023-10-19 14:10:02
20231019141001,564,1,1,2023-10-19 14:10:02
20231019140923,25,1,1,2023-10-19 14:09:24
20231019141001,423,1,1,2023-10-19 14:10:02
20231019140924,181,1,2,2023-10-19 14:09:25
20231019140926,351,1,1,2023-10-19 14:09:27
20231019141002,137,1,1,2023-10-19 14:10:03
20231019140952,624,1,2,2023-10-19 14:09:53
20231019140932,497,1,1,2023-10-19 14:09:33
20231019140924,687,1,1,2023-10-19 14:09:25
20231019140942,162,1,3,2023-10-19 14:09:43
20231019141001,142,1,1,2023-10-19 14:10:02
20231019140902,607,1,1,2023-10-19 14:09:03
20231019140952,547,1,3,2023-10-19 14:09:53
20231019140943,449,1,2,2023-10-19 14:09:44
20231019140952,679,1,1,2023-10-19 14:09:53
20231019141001,334,1,1,2023-10-19 14:10:02
20231019140943,18,1,4,2023-10-19 14:09:44
20231019141002,150,1,3,2023-10-19 14:10:03
20231019140952,78,1,1,2023-10-19 14:09:53
20231019140943,82,1,1,2023-10-19 14:09:44
20231019140952,411,1,3,2023-10-19 14:09:53
20231019141001,364,1,6,2023-10-19 14:10:02
20231019140953,312,1,3,2023-10-19 14:09:54
20231019140942,290,1,2,2023-10-19 14:09:43
20231019140942,649,1,2,2023-10-19 14:09:43
20231019140952,485,1,2,2023-10-19 14:09:53
20231019140952,512,1,2,2023-10-19 14:09:53
20231019140942,681,1,4,2023-10-19 14:09:43
20231019140943,466,1,5,2023-10-19 14:09:44
20231019140952,294,1,1,2023-10-19 14:09:53
20231019140942,80,1,2,2023-10-19 14:09:43
20231019140942,611,1,1,2023-10-19 14:09:43
20231019140901,87,1,1,2023-10-19 14:09:02
20231019141001,31,1,3,2023-10-19 14:10:02
20231019141001,415,1,1,2023-10-19 14:10:02
20231019140952,691,1,5,2023-10-19 14:09:53
20231019141002,726,1,1,2023-10-19 14:10:03
20231019141001,198,1,1,2023-10-19 14:10:02
20231019140952,746,1,1,2023-10-19 14:09:53
20231019140952,541,1,4,2023-10-19 14:09:53
20231019140942,496,1,1,2023-10-19 14:09:43
20231019141001,390,1,1,2023-10-19 14:10:02
20231019140924,460,1,1,2023-10-19 14:09:25
20231019140952,234,1,1,2023-10-19 14:09:53
20231019140952,629,1,3,2023-10-19 14:09:53
20231019141001,19,1,3,2023-10-19 14:10:02
20231019140902,469,1,1,2023-10-19 14:09:03
20231019140902,188,1,1,2023-10-19 14:09:03
20231019140942,218,1,1,2023-10-19 14:09:43
20231019140929,477,1,3,2023-10-19 14:09:30
20231019140952,412,1,3,2023-10-19 14:09:53
20231019140952,130,1,3,2023-10-19 14:09:53
20231019140902,84,1,1,2023-10-19 14:09:03
20231019140952,630,1,3,2023-10-19 14:09:53
20231019140953,265,1,3,2023-10-19 14:09:54
20231019140902,268,1,1,2023-10-19 14:09:03
20231019140929,350,1,3,2023-10-19 14:09:30
20231019140924,685,1,1,2023-10-19 14:09:25
20231019140942,417,1,1,2023-10-19 14:09:43
20231019140942,539,1,1,2023-10-19 14:09:43
20231019140924,528,1,3,2023-10-19 14:09:25
20231019140945,178,1,4,2023-10-19 14:09:46
20231019140924,474,1,3,2023-10-19 14:09:25
20231019140924,369,1,3,2023-10-19 14:09:25
20231019141001,339,1,1,2023-10-19 14:10:02
20231019140925,153,1,1,2023-10-19 14:09:26
20231019140952,656,1,4,2023-10-19 14:09:53
20231019140942,635,1,1,2023-10-19 14:09:43
