COL_DTM,INT_NO,INT_STAT,INT_PHASE_NO,LNKD_DTM
20231000000000,195,1,3,2023-10-18 08:00:00
20231000000000,445,1,3,2023-10-18 08:00:00
20231000000000,454,1,2,2023-10-18 08:00:00
20231000000000,480,1,3,2023-10-18 08:00:00
20231000000000,575,1,2,2023-10-18 08:00:00
20231000000000,601,1,1,2023-10-18 08:00:00
20231000000000,705,1,1,2023-10-18 08:00:00
20231000000000,734,1,3,2023-10-18 08:00:00
20231000000000,87,1,1,2023-10-18 08:00:00
20231000000000,93,1,1,2023-10-18 08:00:00
20231000000000,128,1,3,2023-10-18 08:00:00
20231000000000,133,1,3,2023-10-18 08:00:00
20231000000000,137,1,1,2023-10-18 08:00:00
20231000000000,138,1,2,2023-10-18 08:00:00
20231000000000,160,1,1,2023-10-18 08:00:00
20231000000000,165,1,3,2023-10-18 08:00:00
20231000000000,178,1,3,2023-10-18 08:00:00
20231000000000,188,1,1,2023-10-18 08:00:00
20231000000000,196,1,2,2023-10-18 08:00:00
20231000000000,197,1,1,2023-10-18 08:00:00
20231000000000,228,1,3,2023-10-18 08:00:00
20231000000000,241,1,4,2023-10-18 08:00:00
20231000000000,339,4,1,2023-10-18 08:00:00
20231000000000,341,4,1,2023-10-18 08:00:00
20231000000000,394,1,1,2023-10-18 08:00:00
20231000000000,411,1,1,2023-10-18 08:00:00
20231000000000,453,1,2,2023-10-18 08:00:00
20231000000000,459,1,2,2023-10-18 08:00:00
20231000000000,469,1,1,2023-10-18 08:00:00
20231000000000,486,1,3,2023-10-18 08:00:00
20231000000000,503,1,1,2023-10-18 08:00:00
20231000000000,559,1,3,2023-10-18 08:00:00
20231000000000,593,4,1,2023-10-18 08:00:00
20231000000000,596,2,1,2023-10-18 08:00:00
20231000000000,597,4,1,2023-10-18 08:00:00
20231000000000,603,1,1,2023-10-18 08:00:00
20231000000000,613,1,1,2023-10-18 08:00:00
20231000000000,621,1,1,2023-10-18 08:00:00
20231000000000,623,1,3,2023-10-18 08:00:00
20231000000000,647,1,3,2023-10-18 08:00:00
20231000000000,652,4,1,2023-10-18 08:00:00
20231000000000,654,1,1,2023-10-18 08:00:00
20231000000000,670,1,1,2023-10-18 08:00:00
20231000000000,688,1,2,2023-10-18 08:00:00
20231000000000,711,1,1,2023-10-18 08:00:00
20231000000000,718,1,2,2023-10-18 08:00:00
20231000000000,33,1,1,2023-10-18 08:00:00
20231000000000,43,1,2,2023-10-18 08:00:00
20231000000000,77,1,3,2023-10-18 08:00:00
20231000000000,113,1,1,2023-10-18 08:00:00
20231000000000,115,1,1,2023-10-18 08:00:00
20231000000000,125,1,1,2023-10-18 08:00:00
20231000000000,143,1,1,2023-10-18 08:00:00
20231000000000,144,1,1,2023-10-18 08:00:00
20231000000000,157,1,1,2023-10-18 08:00:00
20231000000000,159,1,1,2023-10-18 08:00:00
20231000000000,163,1,5,2023-10-18 08:00:00
20231000000000,186,1,2,2023-10-18 08:00:00
20231000000000,198,1,1,2023-10-18 08:00:00
20231000000000,215,1,3,2023-10-18 08:00:00
20231000000000,242,1,1,2023-10-18 08:00:00
20231000000000,244,1,1,2023-10-18 08:00:00
20231000000000,246,1,1,2023-10-18 08:00:00
20231000000000,267,1,4,2023-10-18 08:00:00
20231000000000,268,1,1,2023-10-18 08:00:00
20231000000000,278,1,1,2023-10-18 08:00:00
20231000000000,285,1,1,2023-10-18 08:00:00
20231000000000,295,1,1,2023-10-18 08:00:00
20231000000000,302,1,2,2023-10-18 08:00:00
20231000000000,316,1,5,2023-10-18 08:00:00
20231000000000,331,4,1,2023-10-18 08:00:00
20231000000000,333,4,1,2023-10-18 08:00:00
20231000000000,334,1,1,2023-10-18 08:00:00
20231000000000,344,1,1,2023-10-18 08:00:00
20231000000000,346,1,1,2023-10-18 08:00:00
20231000000000,364,1,6,2023-10-18 08:00:00
20231000000000,393,1,1,2023-10-18 08:00:00
20231000000000,412,1,1,2023-10-18 08:00:00
20231000000000,414,1,1,2023-10-18 08:00:00
20231000000000,423,1,1,2023-10-18 08:00:00
20231000000000,434,1,1,2023-10-18 08:00:00
20231000000000,460,1,2,2023-10-18 08:00:00
20231000000000,481,1,1,2023-10-18 08:00:00
20231000000000,494,1,1,2023-10-18 08:00:00
20231000000000,499,1,1,2023-10-18 08:00:00
20231000000000,500,1,1,2023-10-18 08:00:00
20231000000000,501,1,1,2023-10-18 08:00:00
20231000000000,514,1,1,2023-10-18 08:00:00
20231000000000,553,1,1,2023-10-18 08:00:00
20231000000000,564,1,1,2023-10-18 08:00:00
20231000000000,586,1,5,2023-10-18 08:00:00
20231000000000,599,1,1,2023-10-18 08:00:00
20231000000000,600,1,1,2023-10-18 08:00:00
20231000000000,604,1,1,2023-10-18 08:00:00
20231000000000,605,1,1,2023-10-18 08:00:00
20231000000000,607,1,1,2023-10-18 08:00:00
20231000000000,608,1,1,2023-10-18 08:00:00
20231000000000,615,1,1,2023-10-18 08:00:00
20231000000000,616,1,1,2023-10-18 08:00:00
20231000000000,619,1,3,2023-10-18 08:00:00
20231000000000,626,1,1,2023-10-18 08:00:00
20231000000000,648,1,3,2023-10-18 08:00:00
20231000000000,679,1,1,2023-10-18 08:00:00
20231000000000,680,1,1,2023-10-18 08:00:00
20231000000000,701,1,1,2023-10-18 08:00:00
20231000000000,706,1,1,2023-10-18 08:00:00
20231000000000,707,1,4,2023-10-18 08:00:00
20231000000000,712,1,1,2023-10-18 08:00:00
20231000000000,719,1,1,2023-10-18 08:00:00
20231000000000,720,1,1,2023-10-18 08:00:00
20231000000000,722,1,1,2023-10-18 08:00:00
20231000000000,726,1,1,2023-10-18 08:00:00
20231000000000,736,1,1,2023-10-18 08:00:00
20231000000000,737,1,1,2023-10-18 08:00:00
20231000000000,754,1,1,2023-10-18 08:00:00
20231000000000,5,1,3,2023-10-18 08:00:00
20231000000000,84,1,1,2023-10-18 08:00:00
20231000000000,142,1,1,2023-10-18 08:00:00
20231000000000,226,1,3,2023-10-18 08:00:00
20231000000000,322,1,1,2023-10-18 08:00:00
20231000000000,342,1,1,2023-10-18 08:00:00
20231000000000,356,1,1,2023-10-18 08:00:00
20231000000000,391,1,1,2023-10-18 08:00:00
20231000000000,401,1,1,2023-10-18 08:00:00
20231000000000,402,1,1,2023-10-18 08:00:00
20231000000000,450,1,2,2023-10-18 08:00:00
20231000000000,455,1,1,2023-10-18 08:00:00
20231000000000,542,1,1,2023-10-18 08:00:00
20231000000000,560,1,2,2023-10-18 08:00:00
20231000000000,579,1,1,2023-10-18 08:00:00
20231000000000,617,1,1,2023-10-18 08:00:00
20231000000000,650,1,2,2023-10-18 08:00:00
20231000000000,689,1,2,2023-10-18 08:00:00
20231000000000,700,1,1,2023-10-18 08:00:00
20231000000000,721,1,2,2023-10-18 08:00:00
20231000000000,50,1,4,2023-10-18 08:00:00
20231000000000,291,1,4,2023-10-18 08:00:00
