INT_NO,INT_NAME,SA_NO,INT_LAT,INT_LNG,IS_SMART
1,도촌4거리,1,37.41405,127.14385,1
2,동원SK삼거리(아시아 주유소),1,37.41282,127.14382,
3,상탑4거리,0,37.40809,127.14296,
4,돌마4거리(상탑3거리),0,37.40683,127.14201,1
5,상탑초3거리,0,37.40561,127.14473,
6,야탑3치안센터(상탑 P.B),0,37.40549,127.14823,
7,테크노 단일로,0,37.40486,127.15121,
8,분당테크노파크A동,0,37.40499,127.15034,
9,분당테크노파크C동(분당테크노파크),0,37.40545,127.15526,
10,야탑차량등록사업소,0,37.40682,127.1547,
11,야탑보듬이,0,37.40636,127.1522,
12,대원빌라4거리,0,37.40631,127.14852,
13,양촌어린이공원,0,37.40677,127.14667,
14,상탑초4거리,0,37.40711,127.14559,
15,중탑3거리,0,37.41473,127.13905,
16,중탑4거리,0,37.41307,127.13866,
17,야탑3동주민센터(야탑3동사무소),0,37.41064,127.13813,
18,목련4거리,0,37.40952,127.13801,
19,목련3거리,0,37.40777,127.13789,
20,목련마을단일로,0,37.40918,127.13983,
21,성남세관3거리,0,37.40858,127.14167,
22,매화마을주공310동(매화마을주공3단지),0,37.41447,127.14114,
23,매화마을4단지,0,37.41288,127.14243,
24,여수동입구4거리,0,37.41683,127.13394,
25,매화4거리,0,37.4134,127.1339,
26,분당성마르코성당(야탑성당),0,37.41085,127.13388,
27,송림4거리(구송림고4거리),0,37.40944,127.13386,
28,하탑3거리(하탑도서관),0,37.40737,127.13385,
29,도레미유치원,0,37.40971,127.13598,
30,매화마을3거리,0,37.41333,127.13637,
31,야탑소방서,0,37.41635,127.13569,
32,야탑4거리,0,37.41688,127.12879,1
33,장미4거리,0,37.41384,127.12876,
34,야탑역 단일로,0,37.41214,127.12875,
35,야탑역4거리,0,37.40986,127.12873,1
36,하탑4거리(하탑지하차도),0,37.40543,127.12868,1
37,야탑중학교,0,37.41694,127.13121,
38,야탑시그마Ⅲ 3거리,0,37.41383,127.13048,
39,장미마을단일로,0,37.41376,127.1318,
40,돌마초교,0,37.40978,127.13081,
41,야탑 현대APT,0,37.40951,127.13261,
42,807의무경찰대(807전경대),0,37.40631,127.13138,
43,터미널3거리,0,37.41384,127.12608,
44,터미널4거리,0,37.41237,127.12605,
45,분당차여성병원4거리(경찰서4거리),0,37.41137,127.12604,
46,차병원3거리,0,37.40983,127.12603,
47,야탑지구대 사거리,0,37.40988,127.12711,
48,장미동부APT,0,37.41682,127.12715,
49,장미코오롱아파트(야탑초교),0,37.41678,127.12456,
50,사송교4거리,0,37.41385,127.12258,
51,대우정비사업소,0,37.41503,127.11949,
52,재활용센터,0,37.41426,127.12008,
53,사송교3거리,0,37.41309,127.1208,
54,탄천운동장 동문(운동장서문),0,37.41162,127.12176,
55,보건소3거리,0,37.41137,127.12402,
56,탄천운동장 남문,0,37.40872,127.12109,
57,탄천운동장4거리(탑4거리),0,37.40918,127.12302,
58,야탑교4거리,0,37.40957,127.12479,
59,늘사랑어린이집(탑마을 단일로),0,37.40711,127.1236,
60,하탑초교,0,37.40731,127.12543,0
61,벌말4거리(보뜰4거리),0,37.40546,127.11914,1
62,탑대우APT입구(장미대우아파트입구),0,37.40547,127.12066,
63,아름마을태영APT입구(탑대우APT),0,37.40546,127.12156,
64,아름4거리,0,37.40544,127.1236,
65,탑골4거리,0,37.40544,127.12545,
66,아름건영아파트,0,37.40369,127.12359,
67,꾸러기유치원,0,37.40369,127.12545,
68,매송초교,0,37.40111,127.12358,
69,이매중3거리,0,37.40098,127.12541,
70,이매풍림5단지,0,37.39784,127.12353,
71,방아다리4거리,0,37.39921,127.12358,
72,물방아4거리,0,37.39919,127.12539,
73,이매소방서,0,37.39918,127.1275,0
74,물방아3거리,0,37.39919,127.1287,1
75,성남아트센터(문화예술회관),0,37.39925,127.12925,
76,매송중학교,0,37.3969,127.12356,
77,이매초교,0,37.39678,127.12539,
78,이매교4거리,0,37.39473,127.12351,
79,안말4거리,0,37.39472,127.12537,
80,이매성지아파트,0,37.39472,127.12678,0
81,이매역4거리(안말3거리),0,37.39471,127.12828,1
82,안말초 단일로,0,37.39309,127.1251,
83,안말초교3거리,0,37.39233,127.12447,
84,이매코오롱APT,0,37.39146,127.12543,
85,이매동신아파트,0,37.39074,127.1262,
86,이매촌청구,0,37.39073,127.12676,
87,누엣길공원,0,37.39008,127.12533,0
88,매송4거리,0,37.39143,127.12022,1
89,LG분당에클라트(양현4거리),0,37.39011,127.12244,
90,분당제생병원3거리,0,37.38822,127.12076,
91,마사회3거리,0,37.38731,127.11993,
92,양현4거리(이매촌한신4R),0,37.38896,127.12377,
93,분당제생병원4거리,0,37.38731,127.12172,
94,롯데마트4거리,0,37.38659,127.12072,
95,한신아파트3거리(서현산업은행),0,37.38782,127.12507,
96,오일뱅크4거리,0,37.38736,127.12439,
97,분당우체국,0,37.38686,127.12371,
98,우리은행4거리,0,37.38629,127.12289,
99,하나은행4거리,0,37.38555,127.12186,
100,나우병원4거리,0,37.38446,127.12038,
101,서현농협3거리,0,37.38355,127.12139,0
102,서현교4거리,0,37.38677,127.11658,
103,분당소방서3거리(서현소방서3거리),0,37.38539,127.11812,
104,분당구청4거리,0,37.38399,127.11973,
105,분당구청 단일로,0,37.38309,127.12072,
106,서현4거리,0,37.38222,127.12171,
107,이매4거리,0,37.38621,127.12685,1
108,수내4거리,0,37.38402,127.11402,1
109,수내교4거리(조선내화4거리),0,37.38174,127.11658,1
110,경동빌딩(분당구청 단일로),0,37.38083,127.11758,0
111,분당4거리,0,37.37998,127.11857,1
112,서현먹자골목 입구,0,37.38386,127.13056,
113,서현도서관3거리(먹자골SK주유소),0,37.38372,127.13337,
114,남해수산3거리,0,37.38334,127.13591,
115,새마을4거리,0,37.38313,127.13834,
116,서현포스파크,0,37.38315,127.13968,
117,은수사3거리,0,37.38327,127.1433,
118,새마을연수원사거리(수도병원입구),0,37.38376,127.15048,
119,안골입구4거리,0,37.38285,127.1322,
120,서현시범단지우성APT,0,37.38178,127.13072,
121,올림픽스포츠센터,0,37.38038,127.12873,
122,서현시범단지한양APT,0,37.37947,127.12753,
123,서현3거리,0,37.3784,127.12595,
124,서현중학교 단일로,0,37.38128,127.13396,
125,분당어린이공원,0,37.37856,127.13123,0
126,서당4거리,0,37.37942,127.13604,1
127,돌마지하차도,0,37.37744,127.13323,0
128,효자촌4거리,0,37.37539,127.1304,1
129,당촌초교,0,37.37361,127.13238,0
130,서당3거리(서당동입구),0,37.37629,127.13959,1
131,동남프라자,0,37.37399,127.1364,
132,서당삼환APT,0,37.3731,127.13517,0
133,장안4거리,0,37.37223,127.13395,1
134,장안동3거리,0,37.37156,127.13301,
135,장안동입구4거리,0,37.37455,127.14238,
136,장안교3거리(장안동 중앙유치원),0,37.37287,127.14158,
137,장안동건영113동,0,37.37214,127.14073,
138,대진고 후문,0,37.37014,127.13793,
139,대진고4거리,0,37.3695,127.13703,
140,장안초등학교,0,37.37166,127.14392,0
141,장안중3거리,0,37.37213,127.1472,1
142,장안타운건영107동,0,37.37096,127.14467,
143,장안타운123동,0,37.37039,127.14388,
144,태현공원4거리,0,37.36941,127.14249,
145,장안로삼거리(신동아빌라),0,37.36777,127.14023,
146,장안건영빌라 단일로,0,37.371,127.14761,0
147,요한성당3거리,0,37.36886,127.14863,1
148,지역난방공사,0,37.36759,127.14583,
149,지역난방 삼거리,0,37.36794,127.14639,
