INT_NO,INT_PHASE_NO,INT_PLAN_CLSS,INT_RING,INT_FLOW_NO,INT_MIN_SPLIT,INT_MAX_SPLIT,INT_YELLOW,INT_MAIN_PHASE,INT_LANE,INT_PHASE_LAT1,INT_PHASE_LNG1,INT_PHASE_LAT2,INT_PHASE_LNG2,INT_PHASE_LAT3,INT_PHASE_LNG3
204,1,0,0,8,0,0,0,0,0,37.36581,127.10822,37.36614,127.10822,37.36626,127.10822
204,1,0,1,4,0,0,0,0,0,37.36646,127.10797,37.36614,127.10797,37.36602,127.10797
204,2,0,0,17,0,0,0,0,0,19.69448,117.9926,19.69448,117.9926,19.69448,117.9926
205,1,0,0,7,0,0,0,0,0,37.36595,127.10607,37.36563,127.10608,37.36563,127.10622
205,1,0,1,4,0,0,0,0,0,37.36595,127.10582,37.36563,127.10583,37.36551,127.10583
205,2,0,1,3,0,0,0,0,0,37.3653,127.10583,37.36563,127.10583,37.36563,127.10568
205,2,0,0,8,0,0,0,0,0,37.3653,127.10608,37.36563,127.10608,37.36575,127.10607
205,3,0,0,17,0,0,0,0,0,19.69448,117.9926,19.69448,117.9926,19.69448,117.9926
205,4,0,0,6,0,0,0,0,0,37.36573,127.10636,37.36573,127.10595,37.36573,127.1058
205,4,0,1,1,0,0,0,0,0,37.36553,127.10636,37.36553,127.10595,37.36541,127.10595
205,5,0,0,5,0,0,0,0,0,37.36574,127.10555,37.36573,127.10595,37.36585,127.10595
205,5,0,1,2,0,0,0,0,0,37.36554,127.10554,37.36553,127.10595,37.36553,127.1061
206,1,0,0,8,0,0,0,0,0,37.36451,127.10994,37.36483,127.10994,37.36495,127.10994
206,1,0,1,4,0,0,0,0,0,37.36516,127.10969,37.36484,127.10969,37.36472,127.10969
206,2,0,0,17,0,0,0,0,0,19.69448,117.9926,19.69448,117.9926,19.69448,117.9926
206,3,0,0,8,0,0,0,0,0,37.36451,127.10994,37.36483,127.10994,37.36495,127.10994
206,3,0,1,4,0,0,0,0,0,37.36516,127.10969,37.36484,127.10969,37.36472,127.10969
206,4,0,0,17,0,0,0,0,0,19.69448,117.9926,19.69448,117.9926,19.69448,117.9926
207,1,0,1,4,0,0,0,0,0,37.3638,127.10454,37.36348,127.10449,37.36337,127.10446
207,1,0,0,7,0,0,0,0,0,37.36378,127.10479,37.36346,127.10473,37.36345,127.10488
207,2,0,0,8,0,0,0,0,0,37.36313,127.10465,37.36345,127.10473,37.36357,127.10475
207,2,0,1,4,0,0,0,0,0,37.3638,127.10454,37.36348,127.10449,37.36337,127.10446
207,3,0,1,1,0,0,0,0,0,37.36336,127.10501,37.36337,127.10461,37.36326,127.10458
208,1,0,0,6,0,0,0,0,0,37.36355,127.10636,37.36355,127.10596,37.36355,127.10581
208,1,0,1,2,0,0,0,0,0,37.36336,127.10555,37.36335,127.10596,37.36335,127.1061
208,2,0,0,5,0,0,0,0,0,37.36355,127.10555,37.36355,127.10596,37.36367,127.10596
208,2,0,1,1,0,0,0,0,0,37.36335,127.10636,37.36335,127.10596,37.36323,127.10596
208,3,0,1,4,0,0,0,0,0,37.36377,127.10583,37.36345,127.10583,37.36333,127.10583
208,3,0,0,7,0,0,0,0,0,37.36377,127.10608,37.36345,127.10608,37.36345,127.10623
208,4,0,0,8,0,0,0,0,0,37.36313,127.10608,37.36345,127.10608,37.36357,127.10608
208,4,0,1,3,0,0,0,0,0,37.36312,127.10584,37.36345,127.10583,37.36345,127.10569
209,1,0,0,8,0,0,0,0,0,37.36312,127.10824,37.36344,127.10824,37.36356,127.10824
209,1,0,1,4,0,0,0,0,0,37.36376,127.10799,37.36344,127.10799,37.36332,127.10799
209,2,0,0,7,0,0,0,0,0,37.36376,127.10824,37.36344,127.10824,37.36344,127.10838
209,2,0,1,3,0,0,0,0,0,37.36312,127.10799,37.36344,127.10799,37.36344,127.10784
209,3,0,0,6,0,0,0,0,0,37.36355,127.10852,37.36354,127.10811,37.36354,127.10796
209,3,0,1,1,0,0,0,0,0,37.36335,127.10852,37.36334,127.10812,37.36322,127.10812
209,4,0,0,6,0,0,0,0,0,37.36355,127.10852,37.36354,127.10811,37.36354,127.10796
209,4,0,1,2,0,0,0,0,0,37.36334,127.10771,37.36334,127.10811,37.36334,127.10826
209,5,0,0,5,0,0,0,0,0,37.36354,127.10771,37.36354,127.10811,37.36366,127.10811
209,5,0,1,2,0,0,0,0,0,37.36334,127.10771,37.36334,127.10811,37.36334,127.10826
210,1,0,0,6,0,0,0,0,0,37.36357,127.11023,37.36357,127.10982,37.36357,127.10968
210,2,0,0,5,0,0,0,0,0,37.36356,127.10941,37.36357,127.10982,37.36369,127.10982
210,2,0,1,2,0,0,0,0,0,37.36337,127.10942,37.36337,127.10982,37.36337,127.10997
210,3,0,0,7,0,0,0,0,0,37.3638,127.10994,37.36347,127.10995,37.36347,127.11009
210,3,0,1,4,0,0,0,0,0,37.3638,127.1097,37.36347,127.1097,37.36336,127.1097
210,4,0,1,3,0,0,0,0,0,37.36315,127.1097,37.36347,127.1097,37.36347,127.10955
210,4,0,0,8,0,0,0,0,0,37.36315,127.10995,37.36347,127.10995,37.36359,127.10995
211,1,0,0,6,0,0,0,0,0,37.36356,127.11277,37.36356,127.11237,37.36356,127.11222
211,1,0,1,2,0,0,0,0,0,37.36336,127.11196,37.36336,127.11237,37.36336,127.11252
211,2,0,0,17,0,0,0,0,0,19.69448,117.9926,19.69448,117.9926,19.69448,117.9926
212,1,0,0,6,0,0,0,0,0,37.36357,127.11347,37.36357,127.11306,37.36357,127.11291
212,1,0,1,2,0,0,0,0,0,37.36336,127.11266,37.36337,127.11306,37.36337,127.11321
212,2,0,0,17,0,0,0,0,0,19.69448,117.9926,19.69448,117.9926,19.69448,117.9926
214,1,0,1,1,0,0,0,0,0,37.35981,127.10465,37.3598,127.10424,37.35969,127.10425
214,2,0,0,8,0,0,0,0,0,37.35958,127.10437,37.3599,127.10437,37.36002,127.10437
214,2,0,1,4,0,0,0,0,0,37.36023,127.10412,37.3599,127.10412,37.35979,127.10412
214,3,0,0,7,0,0,0,0,0,37.36023,127.10437,37.3599,127.10437,37.3599,127.10451
214,3,0,1,4,0,0,0,0,0,37.36023,127.10412,37.3599,127.10412,37.35979,127.10412
215,1,0,0,6,0,0,0,0,0,37.36001,127.1064,37.36001,127.10599,37.36001,127.10585
215,1,0,1,2,0,0,0,0,0,37.35981,127.10559,37.35981,127.10599,37.35981,127.10614
215,2,0,1,1,0,0,0,0,0,37.35981,127.1064,37.35981,127.10599,37.3597,127.10599
215,2,0,0,5,0,0,0,0,0,37.36001,127.10558,37.36001,127.10599,37.36013,127.10599
215,3,0,1,3,0,0,0,0,0,37.35959,127.10587,37.35991,127.10587,37.35991,127.10572
215,3,0,0,8,0,0,0,0,0,37.35959,127.10612,37.35991,127.10611,37.36003,127.10611
215,4,0,0,7,0,0,0,0,0,37.36024,127.10611,37.35991,127.10611,37.35991,127.10626
215,4,0,1,4,0,0,0,0,0,37.36024,127.10586,37.35991,127.10587,37.3598,127.10587
216,1,0,0,8,0,0,0,0,0,37.35958,127.10826,37.3599,127.10824,37.36002,127.10824
216,1,0,1,4,0,0,0,0,0,37.36022,127.10799,37.3599,127.108,37.35978,127.108
216,2,0,0,7,0,0,0,0,0,37.36022,127.10824,37.3599,127.10824,37.3599,127.10839
216,2,0,1,3,0,0,0,0,0,37.35957,127.10802,37.35989,127.108,37.35989,127.10785
216,3,0,0,6,0,0,0,0,0,37.36001,127.10852,37.36,127.10812,37.36,127.10797
216,3,0,1,2,0,0,0,0,0,37.3598,127.10771,37.3598,127.10812,37.3598,127.10827
216,4,0,1,1,0,0,0,0,0,37.35981,127.10853,37.3598,127.10812,37.35968,127.10813
216,4,0,0,5,0,0,0,0,0,37.36,127.10771,37.36,127.10812,37.36011,127.10812
217,1,0,1,2,0,0,0,0,0,37.35983,127.10945,37.35984,127.10986,37.35984,127.11001
217,1,0,0,6,0,0,0,0,0,37.36004,127.11026,37.36004,127.10986,37.36004,127.10971
217,2,0,0,5,0,0,0,0,0,37.36003,127.10945,37.36004,127.10985,37.36016,127.10985
217,2,0,1,1,0,0,0,0,0,37.35984,127.11026,37.35984,127.10986,37.35973,127.10991
217,3,0,0,8,0,0,0,0,0,37.35967,127.11011,37.35997,127.10997,37.36009,127.10997
217,3,0,1,3,0,0,0,0,0,37.3596,127.10988,37.35991,127.10974,37.3599,127.10959
217,4,0,0,7,0,0,0,0,0,37.36026,127.10998,37.35994,127.10998,37.35994,127.11013
217,4,0,1,4,0,0,0,0,0,37.36026,127.10973,37.35994,127.10973,37.35983,127.10978
218,1,0,0,6,0,0,0,0,0,37.36005,127.11216,37.36005,127.11176,37.36005,127.11161
218,1,0,1,2,0,0,0,0,0,37.35985,127.11135,37.35985,127.11176,37.35985,127.1119
218,2,0,0,17,0,0,0,0,0,19.69448,117.9926,19.69448,117.9926,19.69448,117.9926
219,1,0,0,8,0,0,0,0,0,37.35756,127.10613,37.35788,127.10612,37.358,127.10612
219,1,0,1,4,0,0,0,0,0,37.35821,127.10587,37.35788,127.10588,37.35776,127.10588
219,2,0,0,17,0,0,0,0,0,19.69448,117.9926,19.69448,117.9926,19.69448,117.9926
220,1,0,1,4,0,0,0,0,0,37.35696,127.10588,37.35664,127.10589,37.35652,127.10588
220,1,0,0,7,0,0,0,0,0,37.35697,127.10613,37.35664,127.10613,37.35664,127.10628
220,2,0,0,17,0,0,0,0,0,19.69448,117.9926,19.69448,117.9926,19.69448,117.9926
220,3,0,0,6,0,0,0,0,0,37.35674,127.10642,37.35674,127.10601,37.35674,127.10586
220,3,0,1,2,0,0,0,0,0,37.35655,127.1056,37.35654,127.10601,37.35654,127.10615
