INT_NO,INT_CREATE_DATE,INT_SPLIT1,INT_SPLIT2,INT_SPLIT3,INT_SPLIT4,INT_SPLIT5,INT_SPLIT6,INT_SPLIT7,INT_SPLIT8,INT_OFFSET,INT_CYCLE
743,2023-10-18 08:10:00,0,0,0,0,0,0,,,0,0
743,2023-10-18 08:13:00,0,0,0,0,0,0,,,0,0
743,2023-10-18 08:14:00,0,0,0,0,0,0,,,0,0
743,2023-10-18 08:16:00,0,0,0,0,0,0,,,0,0
743,2023-10-18 08:17:00,0,0,0,0,0,0,,,0,0
743,2023-10-18 08:19:00,0,0,0,0,0,0,,,0,0
744,2023-10-18 08:00:00,0,0,0,0,0,0,,,0,0
744,2023-10-18 08:02:00,0,0,0,0,0,0,,,0,0
744,2023-10-18 08:03:00,0,0,0,0,0,0,,,0,0
744,2023-10-18 08:05:00,0,0,0,0,0,0,,,0,0
744,2023-10-18 08:06:00,0,0,0,0,0,0,,,0,0
744,2023-10-18 08:08:00,0,0,0,0,0,0,,,0,0
744,2023-10-18 08:09:00,0,0,0,0,0,0,,,0,0
744,2023-10-18 08:11:00,0,0,0,0,0,0,,,0,0
744,2023-10-18 08:13:00,0,0,0,0,0,0,,,0,0
744,2023-10-18 08:14:00,0,0,0,0,0,0,,,0,0
744,2023-10-18 08:16:00,0,0,0,0,0,0,,,0,0
744,2023-10-18 08:17:00,0,0,0,0,0,0,,,0,0
744,2023-10-18 08:19:00,0,0,0,0,0,0,,,0,0
745,2023-10-18 08:00:00,0,0,0,0,0,0,,,0,0
745,2023-10-18 08:01:00,0,0,0,0,0,0,,,0,0
745,2023-10-18 08:03:00,0,0,0,0,0,0,,,0,0
745,2023-10-18 08:04:00,0,0,0,0,0,0,,,0,0
745,2023-10-18 08:05:00,0,0,0,0,0,0,,,0,0
745,2023-10-18 08:06:00,0,0,0,0,0,0,,,0,0
745,2023-10-18 08:08:00,0,0,0,0,0,0,,,0,0
745,2023-10-18 08:09:00,0,0,0,0,0,0,,,0,0
745,2023-10-18 08:11:00,0,0,0,0,0,0,,,0,0
745,2023-10-18 08:12:00,0,0,0,0,0,0,,,0,0
745,2023-10-18 08:14:00,0,0,0,0,0,0,,,0,0
745,2023-10-18 08:15:00,0,0,0,0,0,0,,,0,0
745,2023-10-18 08:17:00,0,0,0,0,0,0,,,0,0
745,2023-10-18 08:18:00,0,0,0,0,0,0,,,0,0
746,2023-10-18 08:00:00,0,0,0,0,0,0,,,0,0
746,2023-10-18 08:01:00,0,0,0,0,0,0,,,0,0
746,2023-10-18 08:03:00,0,0,0,0,0,0,,,0,0
746,2023-10-18 08:04:00,0,0,0,0,0,0,,,0,0
746,2023-10-18 08:05:00,0,0,0,0,0,0,,,0,0
746,2023-10-18 08:06:00,0,0,0,0,0,0,,,0,0
746,2023-10-18 08:08:00,0,0,0,0,0,0,,,0,0
746,2023-10-18 08:09:00,0,0,0,0,0,0,,,0,0
746,2023-10-18 08:11:00,0,0,0,0,0,0,,,0,0
746,2023-10-18 08:12:00,0,0,0,0,0,0,,,0,0
746,2023-10-18 08:14:00,0,0,0,0,0,0,,,0,0
746,2023-10-18 08:15:00,0,0,0,0,0,0,,,0,0
746,2023-10-18 08:17:00,0,0,0,0,0,0,,,0,0
746,2023-10-18 08:18:00,0,0,0,0,0,0,,,0,0
747,2023-10-18 08:00:00,0,0,0,0,0,0,,,0,0
747,2023-10-18 08:01:00,0,0,0,0,0,0,,,0,0
747,2023-10-18 08:02:00,0,0,0,0,0,0,,,0,0
747,2023-10-18 08:03:00,0,0,0,0,0,0,,,0,0
747,2023-10-18 08:04:00,0,0,0,0,0,0,,,0,0
747,2023-10-18 08:05:00,0,0,0,0,0,0,,,0,0
747,2023-10-18 08:06:00,0,0,0,0,0,0,,,0,0
747,2023-10-18 08:08:00,0,0,0,0,0,0,,,0,0
747,2023-10-18 08:09:00,0,0,0,0,0,0,,,0,0
747,2023-10-18 08:11:00,0,0,0,0,0,0,,,0,0
747,2023-10-18 08:12:00,0,0,0,0,0,0,,,0,0
747,2023-10-18 08:14:00,0,0,0,0,0,0,,,0,0
747,2023-10-18 08:15:00,0,0,0,0,0,0,,,0,0
747,2023-10-18 08:16:00,0,0,0,0,0,0,,,0,0
747,2023-10-18 08:17:00,0,0,0,0,0,0,,,0,0
747,2023-10-18 08:18:00,0,0,0,0,0,0,,,0,0
747,2023-10-18 08:19:00,0,0,0,0,0,0,,,0,0
747,2023-10-18 08:20:00,0,0,0,0,0,0,,,0,0
748,2023-10-18 08:00:00,0,0,0,0,0,0,,,0,0
748,2023-10-18 08:01:00,0,0,0,0,0,0,,,0,0
748,2023-10-18 08:03:00,0,0,0,0,0,0,,,0,0
748,2023-10-18 08:04:00,0,0,0,0,0,0,,,0,0
748,2023-10-18 08:06:00,0,0,0,0,0,0,,,0,0
748,2023-10-18 08:08:00,0,0,0,0,0,0,,,0,0
748,2023-10-18 08:09:00,0,0,0,0,0,0,,,0,0
748,2023-10-18 08:11:00,0,0,0,0,0,0,,,0,0
748,2023-10-18 08:12:00,0,0,0,0,0,0,,,0,0
748,2023-10-18 08:14:00,0,0,0,0,0,0,,,0,0
748,2023-10-18 08:15:00,0,0,0,0,0,0,,,0,0
748,2023-10-18 08:17:00,0,0,0,0,0,0,,,0,0
748,2023-10-18 08:18:00,0,0,0,0,0,0,,,0,0
749,2023-10-18 08:00:00,0,0,0,0,0,0,,,0,0
749,2023-10-18 08:01:00,0,0,0,0,0,0,,,0,0
749,2023-10-18 08:03:00,0,0,0,0,0,0,,,0,0
749,2023-10-18 08:04:00,0,0,0,0,0,0,,,0,0
749,2023-10-18 08:06:00,0,0,0,0,0,0,,,0,0
749,2023-10-18 08:07:00,0,0,0,0,0,0,,,0,0
749,2023-10-18 08:08:00,0,0,0,0,0,0,,,0,0
749,2023-10-18 08:09:00,0,0,0,0,0,0,,,0,0
749,2023-10-18 08:10:00,0,0,0,0,0,0,,,0,0
749,2023-10-18 08:11:00,0,0,0,0,0,0,,,0,0
749,2023-10-18 08:12:00,0,0,0,0,0,0,,,0,0
749,2023-10-18 08:14:00,0,0,0,0,0,0,,,0,0
749,2023-10-18 08:15:00,0,0,0,0,0,0,,,0,0
749,2023-10-18 08:17:00,0,0,0,0,0,0,,,0,0
749,2023-10-18 08:18:00,0,0,0,0,0,0,,,0,0
750,2023-10-18 08:00:00,0,0,0,0,0,0,,,0,0
750,2023-10-18 08:01:00,0,0,0,0,0,0,,,0,0
750,2023-10-18 08:03:00,0,0,0,0,0,0,,,0,0
750,2023-10-18 08:04:00,0,0,0,0,0,0,,,0,0
750,2023-10-18 08:06:00,0,0,0,0,0,0,,,0,0
750,2023-10-18 08:09:00,0,0,0,0,0,0,,,0,0
750,2023-10-18 08:11:00,0,0,0,0,0,0,,,0,0
750,2023-10-18 08:12:00,0,0,0,0,0,0,,,0,0
750,2023-10-18 08:14:00,0,0,0,0,0,0,,,0,0
750,2023-10-18 08:15:00,0,0,0,0,0,0,,,0,0
750,2023-10-18 08:17:00,0,0,0,0,0,0,,,0,0
750,2023-10-18 08:18:00,0,0,0,0,0,0,,,0,0
751,2023-10-18 08:00:00,0,0,0,0,0,0,,,0,0
751,2023-10-18 08:01:00,0,0,0,0,0,0,,,0,0
751,2023-10-18 08:02:00,0,0,0,0,0,0,,,0,0
751,2023-10-18 08:03:00,0,0,0,0,0,0,,,0,0
751,2023-10-18 08:04:00,0,0,0,0,0,0,,,0,0
751,2023-10-18 08:05:00,0,0,0,0,0,0,,,0,0
751,2023-10-18 08:06:00,0,0,0,0,0,0,,,0,0
751,2023-10-18 08:08:00,0,0,0,0,0,0,,,0,0
751,2023-10-18 08:09:00,0,0,0,0,0,0,,,0,0
751,2023-10-18 08:11:00,0,0,0,0,0,0,,,0,0
751,2023-10-18 08:12:00,0,0,0,0,0,0,,,0,0
751,2023-10-18 08:14:00,0,0,0,0,0,0,,,0,0
751,2023-10-18 08:15:00,0,0,0,0,0,0,,,0,0
751,2023-10-18 08:17:00,0,0,0,0,0,0,,,0,0
751,2023-10-18 08:18:00,0,0,0,0,0,0,,,0,0
751,2023-10-18 08:19:00,0,0,0,0,0,0,,,0,0
752,2023-10-18 08:00:00,0,0,0,0,0,0,,,0,0
752,2023-10-18 08:01:00,0,0,0,0,0,0,,,0,0
752,2023-10-18 08:02:00,0,0,0,0,0,0,,,0,0
752,2023-10-18 08:03:00,0,0,0,0,0,0,,,0,0
752,2023-10-18 08:04:00,0,0,0,0,0,0,,,0,0
752,2023-10-18 08:05:00,0,0,0,0,0,0,,,0,0
752,2023-10-18 08:06:00,0,0,0,0,0,0,,,0,0
752,2023-10-18 08:07:00,0,0,0,0,0,0,,,0,0
752,2023-10-18 08:08:00,0,0,0,0,0,0,,,0,0
752,2023-10-18 08:09:00,0,0,0,0,0,0,,,0,0
752,2023-10-18 08:10:00,0,0,0,0,0,0,,,0,0
752,2023-10-18 08:11:00,0,0,0,0,0,0,,,0,0
752,2023-10-18 08:12:00,0,0,0,0,0,0,,,0,0
752,2023-10-18 08:13:00,0,0,0,0,0,0,,,0,0
752,2023-10-18 08:14:00,0,0,0,0,0,0,,,0,0
752,2023-10-18 08:15:00,0,0,0,0,0,0,,,0,0
752,2023-10-18 08:16:00,0,0,0,0,0,0,,,0,0
752,2023-10-18 08:17:00,0,0,0,0,0,0,,,0,0
752,2023-10-18 08:18:00,0,0,0,0,0,0,,,0,0
752,2023-10-18 08:19:00,0,0,0,0,0,0,,,0,0
754,2023-10-18 08:00:00,0,0,0,0,0,0,,,0,0
754,2023-10-18 08:01:00,0,0,0,0,0,0,,,0,0
754,2023-10-18 08:02:00,0,0,0,0,0,0,,,0,0
754,2023-10-18 08:03:00,0,0,0,0,0,0,,,0,0
754,2023-10-18 08:04:00,0,0,0,0,0,0,,,0,0
754,2023-10-18 08:05:00,0,0,0,0,0,0,,,0,0
754,2023-10-18 08:06:00,0,0,0,0,0,0,,,0,0
754,2023-10-18 08:07:00,0,0,0,0,0,0,,,0,0
754,2023-10-18 08:08:00,0,0,0,0,0,0,,,0,0
754,2023-10-18 08:09:00,0,0,0,0,0,0,,,0,0
754,2023-10-18 08:10:00,0,0,0,0,0,0,,,0,0
754,2023-10-18 08:11:00,0,0,0,0,0,0,,,0,0
754,2023-10-18 08:12:00,0,0,0,0,0,0,,,0,0
754,2023-10-18 08:13:00,0,0,0,0,0,0,,,0,0
754,2023-10-18 08:14:00,0,0,0,0,0,0,,,0,0
754,2023-10-18 08:15:00,0,0,0,0,0,0,,,0,0
754,2023-10-18 08:16:00,0,0,0,0,0,0,,,0,0
