,pred
0,DrugY
1,DrugY
2,DrugY
3,DrugY
4,drugB
5,drugC
6,drugA
7,DrugY
8,drugX
9,DrugY
10,DrugY
11,DrugY
12,drugX
13,DrugY
14,drugC
15,DrugY
16,drugA
17,drugA
18,drugA
19,DrugY
20,DrugY
21,drugA
22,drugX
23,DrugY
24,DrugY
25,drugC
26,DrugY
27,drugC
28,drugA
29,DrugY
30,DrugY
31,DrugY
32,DrugY
33,drugA
34,drugC
35,DrugY
36,drugX
37,drugX
38,DrugY
39,DrugY
40,DrugY
41,drugB
42,drugA
43,drugA
44,drugA
45,drugA
46,DrugY
47,DrugY
48,DrugY
49,DrugY
50,DrugY
51,drugX
52,drugX
53,drugX
54,drugX
55,drugA
56,drugB
57,drugB
58,DrugY
59,drugX
60,DrugY
61,DrugY
62,DrugY
63,DrugY
64,drugC
65,drugX
66,drugX
67,DrugY
68,DrugY
69,DrugY
70,drugX
71,drugX
72,drugC
73,drugC
74,drugC
75,drugC
76,DrugY
77,drugB
78,DrugY
79,DrugY
80,DrugY
81,drugB
82,DrugY
83,DrugY
84,DrugY
85,drugX
86,DrugY
87,drugX
88,DrugY
89,DrugY
90,drugC
91,drugX
92,DrugY
93,DrugY
94,drugX
95,drugX
96,drugC
97,DrugY
98,DrugY
99,drugX
