word,mean,page,synonym,dict_info,class,explanation
spinning-wheel,물레,5,,,,
hum,콧노래를 부르다. 윙윙거리다,5,,,,
bosom,(여자의) 가슴,5,,,,
pallid,"창백한, 핼쑥한",5,,,,
undersized,보통보다 작은,5,,,,
brawny,건장한,5,burly,,,
country folk,시골사람들,5,,,,
remnant,"남은 부분, 나머지, 자투리",5,,,,
upland,고지대,5,,,,
flaxen,금발의,5,blonde,,,
cling round,딱 붙어있다. 주위에 흐르다,5,,예문,,
unwonted,"평소와는 다른, 특이한, 뜻밖의",5,,,,
intermittent,"간헐적인, 간간히 일어나는",5,sporadic,,,
pedlar,"행상인, 도붓장수",5,peddler,,,
shallow,"(복수) 얕은 곳, 여울",5,,,명사,
handicraft,"수공예, 수공예품",5,,,,
overwise,남달리 현명한,5,,,,
dexterity,"(손이나 머리를 쓰는) 재주, 재치, 교묘함, 빈틈없음, 손재주",6,,"옥스포드, 동아출판, YBM",,
partake,"(자기에게 제공된 것을) 먹다, 참가하다",6,,,,
conjouring,마술,6,,,,
rustic,"시골 특유의, 소박한, 무례한, 조야한, 전원생활의",6,,"옥스포드, 동아출판, YBM",,
contract,"줄이다, (버릇이) 들다, (자연히) ~의 습관이 붙다",6,,"옥스포드, 동아출판, YBM",,
hedgegrow,"산울타리, (산울타리의) 죽 늘어선 관목",6,,동아출판,,
stone-pit,채석장,6,"quarry, guary",,,
loom,"베틀, 직기",6,,,,
trotting,"속보, 빨리 걷기",6,,,,
winnow,"(낱알, 겨 등을) 까부르다, 키질하다, (좋은 부분을) 골라내다, 뽑아내다",6,,동아출판,,
flail,도리깨,6,,,명사,
counterbalance,(반대되는 힘으로) 균형을 잡아주다,6,,,,
scornful,경멸하는,6,,,,
mockery,"조롱, 조소",6,,,,
tread-mill,"밟아 돌리는 바퀴, 단조롭고 피곤한 일",6,,YBM,,
scoundrel,악당,6,,,,
chary of,"~을 (하기를) 꺼리는, 조심스러운, 신중한, 나서지 않는, 음전한, 부끄러워하는, 내성적인, 아까워하는, 삼가는, 저어하는",6,wary,,,
protuberant,"융기된, 볼록하게 도드라진, 돌출한, 현저한, 뚜렷한",6,,"옥스퍼드, 동아출판",,
